0	-0.890773	-0.890773	-0.890773
1	-0.890367	-0.890096	-0.890006
2	-0.889149	-0.888066	-0.887706
3	-0.887121	-0.884688	-0.883880
4	-0.884288	-0.879971	-0.878536
5	-0.880655	-0.873926	-0.871688
6	-0.876229	-0.866568	-0.863352
7	-0.871017	-0.857915	-0.853550
8	-0.865029	-0.847987	-0.842304
9	-0.858277	-0.836809	-0.829643
10	-0.850774	-0.824409	-0.815598
11	-0.842532	-0.810815	-0.800202
12	-0.833568	-0.796061	-0.783494
13	-0.823898	-0.780184	-0.765515
14	-0.813539	-0.763220	-0.746307
15	-0.802512	-0.745211	-0.725917
16	-0.790836	-0.726200	-0.704396
17	-0.778532	-0.706234	-0.681795
18	-0.765623	-0.685358	-0.658169
19	-0.752133	-0.663625	-0.633574
20	-0.738086	-0.641085	-0.608070
21	-0.723507	-0.617791	-0.581718
22	-0.708423	-0.593799	-0.554582
23	-0.692861	-0.569166	-0.526724
24	-0.676849	-0.543949	-0.498213
25	-0.660414	-0.518208	-0.469115
26	-0.643587	-0.492002	-0.439499
27	-0.626396	-0.465392	-0.409434
28	-0.608872	-0.438439	-0.378992
29	-0.591046	-0.411207	-0.348242
30	-0.572947	-0.383755	-0.317256
31	-0.554608	-0.356149	-0.286105
32	-0.536060	-0.328448	-0.254861
33	-0.517333	-0.300716	-0.223596
34	-0.498460	-0.273015	-0.192379
35	-0.479471	-0.245405	-0.161281
36	-0.460399	-0.217947	-0.130372
37	-0.441274	-0.190701	-0.099719
38	-0.422127	-0.163725	-0.069391
39	-0.402990	-0.137077	-0.039453
40	-0.383892	-0.110812	-0.009970
41	-0.364863	-0.084987	0.018995
42	-0.345933	-0.059653	0.047382
43	-0.327131	-0.034862	0.075130
44	-0.308485	-0.010663	0.102184
45	-0.290022	0.012896	0.128489
46	-0.271770	0.035770	0.153991
47	-0.253755	0.057916	0.178643
48	-0.236001	0.079292	0.202395
49	-0.218535	0.099862	0.225204
50	-0.201378	0.119588	0.247029
51	-0.184554	0.138438	0.267830
52	-0.168084	0.156381	0.287572
53	-0.151989	0.173390	0.306224
54	-0.136288	0.189438	0.323755
55	-0.120999	0.204504	0.340139
56	-0.106141	0.218569	0.355354
57	-0.091728	0.231616	0.369380
58	-0.077776	0.243632	0.382202
59	-0.064299	0.254605	0.393806
60	-0.051308	0.264528	0.404183
61	-0.038816	0.273397	0.413327
62	-0.026831	0.281210	0.421235
63	-0.015364	0.287967	0.427908
64	-0.004420	0.293673	0.433351
65	0.005993	0.298333	0.437569
66	0.015870	0.301959	0.440574
67	0.025209	0.304561	0.442379
68	0.034006	0.306156	0.443001
69	0.042260	0.306759	0.442459
70	0.049971	0.306392	0.440775
71	0.057140	0.305076	0.437976
72	0.063770	0.302837	0.434090
73	0.069865	0.299701	0.429146
74	0.075428	0.295697	0.423178
75	0.080465	0.290856	0.416222
76	0.084984	0.285212	0.408315
77	0.088992	0.278800	0.399498
78	0.092497	0.271655	0.389812
79	0.095511	0.263815	0.379301
